Task Family	Query	Robot Start State	Env Start State 
	How would you put the coke can on the far counter	at far counter with coke can in hand	coke can on table, rxbar chocolate on table, sponge on far counter
	How would you put the sponge on the close counter	with operator	sponge on far counter, apple on near counter
	How would you put the sponge on the close counter	at far counter	sponge on far counter, apple on near counter
	How would you put the sponge on the close counter	at near counter with sponge in hand	sponge in hand, apple on near counter
	How would you put the sponge on the close counter		
	How would you pick up the drink from the far counter	at far counter	water bottle, sponge on far counter
	I left something on the table, can you throw it away?		
	I left something on the table or the counter, can you bring it to me?		
Abstract Task Specification: Single	Pick up the coke can	In front of table,	coke can on table, apple on table
	Put the coke can in the your gripper	In front of table,	coke can on table, apple on table
	Grasp the coke can	In front of table,	coke can on table, apple on table
	Hold onto the coke can	In front of table,	coke can on table, apple on table
	Lift and hold the coke can up	In front of table,	coke can on table, apple on table
	Put the coke can down	In front of table, With coke can in hand	apple on table
	Place the coke can on the table	In front of table, With coke can in hand	apple on table
	Let go of the coke can	In front of table, With coke can in hand	apple on table
	Release the coke can	In front of table, With coke can in hand	
	Place the coke can	In front of table, With coke can in hand	
	Move to the table	with operator	nav only
	Go to the table	with operator	nav only
	Park at the table	with operator	nav only
	Come to the table	with operator	nav only
	Navigate to the table	with operator	nav only
